type,date,latitude,longitude,gender,age range,self-defined ethnicity,officer-defined ethnicity,legislation,object of search,outcome
Person search,2021-06-08T03:50:00+00:00,51.571938,0.11064,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-08T07:59:00+00:00,51.445097,-0.12433,Male,,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-08T08:30:00+00:00,51.559949,0.010912,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T08:33:00+00:00,51.559949,0.010912,Female,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T08:45:00+00:00,51.483438,0.035976,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-08T08:45:00+00:00,51.562397,-0.125553,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T09:10:00+00:00,,,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T09:18:00+00:00,51.517616,-0.070718,Male,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T09:20:00+00:00,51.517616,-0.070718,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T09:25:00+00:00,51.575664,-0.072432,Male,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T09:27:00+00:00,51.524019,-0.42809,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Arrest
Person search,2021-06-08T09:30:00+00:00,51.575664,-0.072432,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T09:45:00+00:00,,,Male,,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-08T10:10:00+00:00,51.49668,-0.137427,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-08T10:20:00+00:00,,,Male,over 34,Other ethnic group - Any other ethnic group,Other,Police and Criminal Evidence Act 1984 (section 1),,Arrest
Person search,2021-06-08T10:30:00+00:00,51.564787,-0.36665,Male,18-24,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-08T11:00:00+00:00,51.483994,0.07813,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T11:15:00+00:00,51.50798,-0.123651,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T11:30:00+00:00,,,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T11:30:00+00:00,51.423246,-0.045122,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T11:35:00+00:00,51.458972,-0.173813,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T11:40:00+00:00,51.501009,-0.285034,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T12:00:00+00:00,51.489114,0.050893,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T12:06:00+00:00,51.473132,-0.215711,Female,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T12:10:00+00:00,51.473132,-0.215711,Female,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T12:20:00+00:00,51.531046,-0.116907,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T12:48:00+00:00,51.492529,-0.147839,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T12:50:00+00:00,51.170392,-0.171961,Male,Oct-17,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T13:13:00+00:00,51.457474,-0.02594,Female,over 34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-08T13:25:00+00:00,51.485323,0.000685,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T13:38:00+00:00,51.493727,-0.171488,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T14:00:00+00:00,51.535893,-0.102374,Male,Oct-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T14:07:00+00:00,51.482155,-0.029987,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-08T14:10:00+00:00,,,Male,18-24,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T14:15:00+00:00,51.561515,0.066196,Male,18-24,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-08T14:20:00+00:00,51.514617,-0.175552,Male,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T14:20:00+00:00,51.514617,-0.175552,Male,25-34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T14:25:00+00:00,51.514617,-0.175552,Male,Oct-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T14:28:00+00:00,51.514617,-0.175552,Male,18-24,Asian/Asian British - Any other Asian background,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T14:55:00+00:00,51.539298,-0.181083,Male,,Other ethnic group - Any other ethnic group,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T15:16:00+00:00,51.538915,0.053506,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T15:25:00+00:00,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-08T15:30:00+00:00,51.601772,-0.23974,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T15:45:00+00:00,51.433917,-0.103496,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T15:45:00+00:00,51.598681,-0.093116,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T16:00:00+00:00,51.559718,0.154149,Male,,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T16:20:00+00:00,51.542175,-0.20146,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T16:30:00+00:00,,,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T16:37:00+00:00,,,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T16:40:00+00:00,51.601772,-0.23974,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T16:40:00+00:00,51.537097,0.200379,Male,Oct-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-08T17:00:00+00:00,51.463466,-0.01068,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-08T17:00:00+00:00,51.49572,-0.101061,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T18:20:00+00:00,51.588785,-0.103405,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T19:05:00+00:00,51.567683,-0.05365,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T19:10:00+00:00,51.594192,-0.104652,Male,18-24,Other ethnic group - Any other ethnic group,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T19:30:00+00:00,51.539806,-0.028349,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T19:42:00+00:00,51.527525,-0.05,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T19:55:00+00:00,51.457474,-0.02594,Male,over 34,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T20:00:00+00:00,51.606995,-0.125276,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T20:02:00+00:00,,,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T20:15:00+00:00,51.620358,-0.139431,Male,Oct-17,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T21:00:00+00:00,51.493583,-0.184214,Male,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T21:10:00+00:00,51.467706,-0.045137,Male,Oct-17,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T21:48:00+00:00,51.499575,-0.165908,Male,18-24,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-08T23:14:00+00:00,51.511221,-0.128375,Male,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T23:30:00+00:00,,,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T23:30:00+00:00,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-08T23:45:00+00:00,51.515196,-0.071772,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-08T23:50:00+00:00,51.444087,-0.019207,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T00:03:00+00:00,51.500769,-0.119222,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T00:30:00+00:00,51.491069,-0.018914,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T00:57:00+00:00,51.363419,-0.09769,Male,25-34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-09T00:59:00+00:00,51.569995,-0.123235,Female,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T01:00:00+00:00,51.483346,-0.252038,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-09T01:11:00+00:00,51.371037,-0.227972,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T01:30:00+00:00,51.352587,-0.08527,Male,25-34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-09T02:36:00+00:00,51.42749,-0.347197,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Vehicle search,2021-06-09T02:40:00+00:00,,,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T02:40:00+00:00,51.42749,-0.347197,Male,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-09T04:05:00+00:00,51.395742,-0.30411,Male,Oct-17,Mixed/Multiple ethnic groups - White and Asian,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-09T06:20:00+00:00,51.459766,-0.116056,Male,over 34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T06:40:00+00:00,51.469029,-0.27686,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Vehicle search,2021-06-09T07:54:00+00:00,51.453615,-0.006215,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T08:20:00+00:00,51.443818,-0.134355,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-09T08:27:00+00:00,51.443818,-0.134355,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-09T08:50:00+00:00,51.507378,-0.128186,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T09:30:00+00:00,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T10:44:00+00:00,51.538919,0.081352,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T10:45:00+00:00,51.486794,0.088571,Male,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T10:51:00+00:00,51.517497,-0.210115,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T11:00:00+00:00,51.557527,-0.299975,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T11:01:00+00:00,51.493133,-0.224078,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-09T11:20:00+00:00,51.649392,-0.050572,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T11:24:00+00:00,51.521962,-0.221082,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T11:32:00+00:00,51.49444,-0.234399,Male,,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T11:55:00+00:00,51.551361,-0.032033,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T12:07:00+00:00,51.511342,-0.203381,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T12:25:00+00:00,51.479883,-0.129528,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T12:30:00+00:00,51.519227,-0.167858,Male,18-24,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-09T14:00:00+00:00,51.540842,0.148729,Male,18-24,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T14:10:00+00:00,51.427432,-0.167849,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T14:10:00+00:00,51.542422,0.148862,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),,Arrest
Person search,2021-06-09T14:25:00+00:00,51.449194,-0.191603,Male,over 34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-09T14:28:00+00:00,51.533502,-0.306969,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Criminal Justice and Public Order Act 1994 (section 60),Anything to threaten or harm anyone,Arrest
Person search,2021-06-09T14:30:00+00:00,51.556998,-0.079193,Male,18-24,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T14:45:00+00:00,51.396124,0.113361,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T15:10:00+00:00,,,Male,18-24,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T15:10:00+00:00,51.562106,-0.114686,Male,18-24,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-09T15:11:00+00:00,51.551221,-0.140306,Male,,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T15:30:00+00:00,51.53375,0.037672,Male,Oct-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T15:30:00+00:00,51.542229,-0.094943,Male,Oct-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T15:30:00+00:00,51.492975,0.070658,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-09T15:30:00+00:00,51.612322,-0.175681,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T15:30:00+00:00,51.612322,-0.175681,Male,over 34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T15:33:00+00:00,51.53375,0.037672,Male,Oct-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T15:33:00+00:00,51.53375,0.037672,Male,Oct-17,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T15:36:00+00:00,,,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-09T15:44:00+00:00,51.589944,-0.018961,Male,18-24,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Vehicle search,2021-06-09T16:00:00+00:00,51.608027,-0.017293,Male,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T16:15:00+00:00,51.536538,-0.347691,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T16:21:00+00:00,51.560211,-0.260331,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T16:24:00+00:00,,,Male,,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T16:34:00+00:00,51.540842,0.148729,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T17:11:00+00:00,51.570303,-0.445729,Male,over 34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-09T17:40:00+00:00,51.38668,-0.09697,Male,over 34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T17:49:00+00:00,51.522276,-0.054506,Male,Oct-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T17:51:00+00:00,51.517677,-0.16534,Male,Oct-17,Other ethnic group - Any other ethnic group,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-09T18:05:00+00:00,51.541653,-0.388965,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T18:20:00+00:00,51.560476,-0.085626,Male,Oct-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T18:30:00+00:00,51.501207,-0.128569,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T18:30:00+00:00,51.504848,-0.090033,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T18:31:00+00:00,,,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T18:45:00+00:00,51.504848,-0.090033,Male,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T19:00:00+00:00,51.589936,-0.102866,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T19:41:00+00:00,51.574607,0.031287,Female,over 34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T19:50:00+00:00,51.539806,-0.028349,Male,over 34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-09T19:54:00+00:00,51.539806,-0.028349,Male,over 34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T19:58:00+00:00,51.570208,-0.013787,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-09T20:15:00+00:00,51.52844,-0.064566,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T20:26:00+00:00,51.475044,-0.03385,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T20:36:00+00:00,51.462709,-0.106707,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-09T21:30:00+00:00,51.464662,-0.361762,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-09T21:46:00+00:00,,,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T21:55:00+00:00,51.589936,-0.102866,Female,Oct-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Arrest
Person and Vehicle search,2021-06-09T23:20:00+00:00,51.515546,-0.070056,Male,over 34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-09T23:26:00+00:00,51.517585,-0.043852,Male,over 34,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-09T23:30:00+00:00,51.513904,-0.130801,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
